Jun 2005,319.38
May 2005,273.50
Apr 2005,264.17
Mar 2005,286.79
Feb 2005,279.51
Jan 2005,309.08
Dec 2004,300.05
Nov 2004,270.16
Oct 2004,281.74
Sep 2004,308.57
Aug 2004,330.93
Jul 2004,333.91
Jun 2004,307.77
May 2004,279.04
Apr 2004,262.85
Mar 2004,278.18
Feb 2004,286.43
Jan 2004,307.86
Dec 2003,293.84
Nov 2003,262.98
Oct 2003,277.38
Sep 2003,306.59
Aug 2003,341.82
Jul 2003,334.21
Jun 2003,290.45
May 2003,268.79
Apr 2003,256.71
Mar 2003,274.47
Feb 2003,282.24
Jan 2003,304.26
Dec 2002,286.46
Nov 2002,263.03
Oct 2002,284.18
Sep 2002,310.50
Aug 2002,338.11
Jul 2002,337.28
Jun 2002,296.47
May 2002,269.32
Apr 2002,257.95
Mar 2002,267.46
Feb 2002,263.73
Jan 2002,290.97
Dec 2001,268.54
Nov 2001,252.94
Oct 2001,267.60
Sep 2001,296.04
Aug 2001,332.26
Jul 2001,315.85
Jun 2001,289.98
May 2001,264.44
Apr 2001,254.33
Mar 2001,269.32
Feb 2001,272.32
Jan 2001,310.85
Dec 2000,291.99
Nov 2000,264.12
Oct 2000,272.84
Sep 2000,303.69
Aug 2000,330.73
Jul 2000,317.57
Jun 2000,299.76
May 2000,269.26
Apr 2000,249.17
Mar 2000,262.42
Feb 2000,272.10
Jan 2000,287.76
Dec 1999,270.73
Nov 1999,252.53
Oct 1999,265.40
Sep 1999,294.80
Aug 1999,322.98
Jul 1999,324.31
Jun 1999,284.73
May 1999,254.36
Apr 1999,246.79
Mar 1999,260.77
Feb 1999,251.15
Jan 1999,283.53
Dec 1998,267.39
Nov 1998,250.01
Oct 1998,266.30
Sep 1998,297.10
Aug 1998,318.65
Jul 1998,313.52
Jun 1998,283.99
May 1998,253.68
Apr 1998,239.55
Mar 1998,253.68
Feb 1998,249.26
Jan 1998,271.10
Dec 1997,264.30
Nov 1997,246.56
Oct 1997,262.86
Sep 1997,278.72
Aug 1997,294.36
Jul 1997,296.26
Jun 1997,261.42
May 1997,236.77
Apr 1997,234.76
Mar 1997,243.55
Feb 1997,250.78
Jan 1997,275.27
